"index","customer_no","account_balance","acc_bal_running_total"
11260,242,0,0
11261,243,0,0
11262,244,0,0
11263,245,0,0
11264,246,0,0
11265,247,0,0
11266,248,0,0
11267,249,0,0
11268,250,0,0
11269,251,0,0
11270,252,0,0
11271,253,0,0
11272,254,0,0
11273,255,0,0
11274,256,0,0
11275,257,0,0
11276,258,0,0
11277,259,0,0
11278,260,0,0
11279,261,0,0
11280,262,0,0
11281,263,0,0
11282,264,0,0
11283,265,0,0
11284,266,0,0
11285,267,0,0
11286,268,0,0
11287,269,0,0
11288,270,0,0
11289,271,0,0
11290,272,0,0
11291,273,0,0
11292,274,0,0
11293,275,0,0
11294,276,0,0
11295,277,0,0
11296,278,0,0
11297,279,0,0
11298,280,0,0
11299,281,0,0
11300,282,0,0
11301,283,0,0
11302,284,0,0
11303,285,0,0
11304,286,0,0
11305,287,0,0
11306,288,0,0
11307,289,0,0
11308,290,0,0
11309,291,0,0
11310,292,0,0
11311,293,0,0
11312,294,0,0
11313,295,0,0
11314,296,0,0
11315,297,0,0
11316,298,0,0
11317,299,0,0
11318,300,0,0
11319,301,0,0
11320,302,0,0
11321,303,0,0
11322,304,0,0
11323,305,0,0
11324,306,0,0
11325,307,0,0
11326,308,0,0
11327,309,0,0
11328,310,0,0
11329,311,0,0
11330,312,0,0
11331,313,0,0
11332,314,0,0
11333,315,0,0
11334,316,0,0
11335,317,0,0
11336,318,0,0
11337,319,0,0
11338,320,0,0
11339,321,0,0
11340,322,0,0
11341,323,0,0
11342,324,0,0
11343,325,0,0
11344,326,0,0
11345,327,0,0
11346,328,0,0
11347,329,0,0
11348,330,0,0
11349,331,0,0
11350,332,0,0
11351,333,0,0
11352,334,0,0
11353,335,0,0
11354,336,0,0
11355,337,0,0
11356,338,0,0
11357,339,0,0
11358,340,0,0
11359,341,0,0
11360,342,0,0
11361,343,0,0
11362,344,11.22,0
11363,345,0,0
11364,346,0,0
11365,347,0,0
11366,348,0,0
11367,349,0,0
11368,350,0,0
11369,351,0,0
11370,352,0,0
11371,353,0,0
11372,354,0,0
11373,355,0,0
11374,356,0,0
11375,357,0,0
11376,358,0,0
11377,359,0,0
11378,360,0,0
11379,361,0,0
11380,362,0,0
11381,363,0,0
11382,364,0,0
11383,365,0,0
11384,366,0,0
11385,367,0,0
11386,368,0,0
11387,369,0,0
11388,370,0,0
11389,371,0,0
11390,372,0,0
11391,373,0,0
11392,374,0,0
11393,375,0,0
11394,376,0,0
11395,377,0,0
11396,378,0,0
11397,379,0,0
11398,380,0,0
11399,381,0,0
11400,382,0,0
11401,383,0,0
11402,384,0,0
11403,385,0,0
11404,386,0,0
11405,387,0,0
11406,388,0,0
11407,389,0,0
11408,390,0,0
11409,391,0,0
11410,392,0,0
11411,393,0,0
11412,394,0,0
11413,395,0,0
11414,396,0,0
11415,397,0,0
11416,398,0,0
11417,399,0,0
11418,400,0,0
11419,401,0,0
11420,402,0,0
11421,403,0,0
11422,404,0,0
11423,405,0,0
11424,406,0,0
11425,407,0,0
11426,408,0,0
11427,409,0,0
11428,410,0,0
11429,411,0,0
11430,412,0,0
11431,413,0,0
11432,414,0,0
11433,415,0,0
11434,416,0,0
11435,417,0,0
11436,418,0,0
11437,419,0,0
11438,420,0,0
11439,421,0,0
11440,422,0,0
11441,423,0,0
11442,424,0,0
11443,425,0,0
11444,426,0,0
11445,427,0,0
11446,428,0,0
11447,429,0,0
11448,430,0,0
11449,431,0,0
11450,432,0,0
11451,433,0,0
11452,434,0,0
11453,435,0,0
11454,436,0,0
11455,437,0,0
11456,438,0,0
11457,439,0,0
11458,440,0,0
11459,441,0,0
11460,442,0,0
11461,443,0,0
11462,444,0,0
11463,445,0,0
11464,446,0,0
11465,447,0,0
11466,448,0,0
11467,449,0,0
11468,450,0,0
11469,451,0,0
11470,452,0,0
11471,453,0,0
11472,454,0,0
11473,455,0,0
11474,456,0,0
11475,457,0,0
11476,458,0,0
11477,459,0,0
11478,460,0,0
11479,461,0,0
11480,462,0,0
11481,463,0,0
11482,464,0,0
11483,465,0,0
11484,466,0,0
11485,467,0,0
11486,468,0,0
11487,469,0,0
11488,470,0,0
11489,471,0,0
11490,472,0,0
11491,473,0,0
11492,474,0,0
11493,475,0,0
11494,476,0,0
11495,477,0,0
11496,478,0,0
11497,479,0,0
11498,480,0,0
11499,481,0,0
11500,482,0,0
11501,483,0,0
11502,484,0,0
11503,485,0,0
11504,486,0,0
11505,487,0,0
11506,488,0,0
11507,489,0,0
11508,490,0,0
11509,491,0,0
11510,492,0,0
11511,493,0,0
11512,494,0,0
11513,495,0,0
11514,496,0,0
11515,497,0,0
11516,498,0,0
11517,499,0,0
11518,603,0,0
11519,604,0,0
11520,605,0,0
11521,606,0,0
11522,607,0,0
11523,608,0,0
11524,609,0,0
11525,610,0,0
11526,611,0,0
11527,612,0,0
11528,613,0,0
11529,614,0,0
11530,615,0,0
11531,616,0,0
11532,617,0,0
11533,618,0,0
11534,619,0,0
11535,620,0,0
11536,621,0,0
11537,622,0,0
11538,623,0,0
11539,624,0,0
11540,625,0,0
11541,626,0,0
11542,627,0,0
11543,628,0,0
11544,629,0,0
11545,630,0,0
11546,631,0,0
11547,632,0,0
11548,633,0,0
11549,634,0,0
11550,635,0,0
11551,636,0,0
11552,637,0,0
11553,638,0,0
11554,639,0,0
11555,640,0,0
11556,641,0,0
11557,642,0,0
11558,643,158.47,0
11559,644,0,0
11560,645,0,0
11561,646,0,0
11562,647,0,0
11563,648,0,0
11564,649,0,0
11565,650,0,0
11566,651,0,0
11567,652,0,0
11568,653,0,0
11569,654,0,0
11570,655,0,0
11571,656,0,0
11572,657,0,0
11573,658,0,0
11574,659,0,0
11575,660,0,0
11576,661,0,0
11577,662,0,0
11578,663,0,0
11579,664,0,0
11580,665,0,0
11581,666,0,0
11582,667,0,0
11583,668,0,0
11584,669,0,0
11585,670,0,0
11586,671,0,0
11587,672,0,0
11588,673,0,0
11589,674,0,0
11590,675,0,0
11591,676,0,0
11592,677,0,0
11593,678,0,0
11594,679,0,0
11595,680,0,0
11596,681,0,0
11597,682,0,0
11598,683,0,0
11599,684,0,0
11600,685,0,0
11601,686,0,0
11602,687,0,0
11603,688,0,0
11604,689,0,0
11605,690,0,0
11606,691,0,0
11607,692,0,0
11608,693,0,0
11609,694,0,0
11610,695,0,0
11611,696,0,0
11612,697,0,0
11613,698,0,0
11614,699,0,0
11615,700,0,0
11616,701,0,0
11617,702,0,0
11618,703,0,0
11619,704,0,0
11620,705,0,0
11621,706,0,0
11622,707,0,0
11623,708,0,0
11624,709,0,0
11625,710,0,0
11626,711,0,0
11627,712,0,0
11628,713,0,0
11629,714,0,0
11630,715,0,0
11631,716,2,0
11632,717,0,0
11633,718,0,0
11634,719,0,0
11635,720,0,0
11636,721,0,0
11637,722,0,0
11638,723,0,0
11639,724,0,0
11640,725,0,0
11641,726,0,0
11642,727,0.5,0
11643,728,0,0
11644,729,0,0
11645,730,0,0
11646,731,0,0
11647,732,0,0
11648,733,0,0
11649,734,0,0
11650,735,0,0
11651,736,0,0
11652,737,0,0
11653,738,0,0
11654,739,0,0
11655,740,0,0
11656,741,0,0
11657,742,0,0
11658,743,0,0
11659,744,0,0
11660,745,0,0
11661,746,68.29,0
11662,747,0,0
11663,748,0,0
11664,749,0,0
11665,750,0,0
11666,751,0,0
11667,752,0,0
11668,753,0,0
11669,754,0,0
11670,755,0,0
11671,756,0,0
11672,757,0,0
11673,758,0,0
11674,759,0,0
11675,760,0,0
11676,761,0,0
11677,762,0,0
11678,763,0,0
11679,764,0,0
11680,765,0,0
11681,766,0,0
11682,767,0,0
11683,768,0,0
11684,769,0,0
11685,770,0,0
11686,771,0,0
11687,772,0,0
11688,773,0,0
11689,774,0,0
11690,775,0,0
11691,776,0,0
11692,777,0,0
11693,778,0,0
11694,779,0,0
11695,780,0,0
11696,781,0,0
11697,782,0,0
11698,783,0,0
11699,784,0,0
11700,785,0,0
11701,786,0,0
11702,787,0,0
11703,788,0,0
11704,789,0,0
11705,790,0,0
11706,791,0,0
11707,792,0,0
11708,793,0,0
11709,794,0,0
11710,795,0,0
11711,796,0,0
11712,797,0,0
11713,798,0,0
11714,799,0,0
11715,800,0,0
11716,801,0,0
11717,802,0,0
11718,803,0,0
11719,804,0,0
11720,805,0,0
11721,806,0,0
11722,807,0,0
11723,808,0,0
11724,809,0,0
11725,810,0,0
11726,811,0,0
11727,812,0,0
11728,813,0,0
11729,814,0,0
11730,815,0,0
11731,816,0,0
11732,817,0,0
11733,818,0,0
11734,819,0,0
11735,820,0,0
11736,821,0,0
11737,822,0,0
11738,823,0,0
11739,824,0,0
11740,825,0,0
11741,826,0,0
11742,827,0,0
11743,828,0,0
11744,829,0,0
11745,830,0,0
11746,831,0,0
11747,832,0,0
11748,833,0,0
11749,834,0,0
11750,835,0,0
11751,836,0,0
11752,837,0,0
11753,838,0,0
11754,839,0,0
11755,840,0,0
11756,841,0,0
11757,842,0,0
11758,843,0,0
11759,844,0,0
11760,845,0,0
11761,846,0,0
11762,847,0,0
11763,848,0,0
11764,849,0,0
11765,850,0,0
11766,851,0,0
11767,852,0,0
11768,853,0,0
11769,854,0,0
11770,855,0,0
11771,856,0,0
11772,857,0,0
11773,858,0,0
11774,859,0,0
11775,860,0,0
11776,861,0,0
11777,862,0,0
11778,863,0,0
11779,864,0.5,0
11780,865,0,0
11781,866,0,0
11782,867,0,0
11783,868,0,0
11784,869,0,0
11785,870,0,0
11786,871,0,0
11787,872,0,0
11788,873,0,0
11789,874,0,0
11790,875,0,0
11791,876,0,0
11792,877,0,0
11793,878,0,0
11794,879,0,0
11795,880,0,0
11796,881,0,0
11797,882,0,0
11798,883,0,0
11799,884,0,0
11800,885,1,0
11801,886,0,0
11802,887,0,0
11803,888,0,0
11804,889,0,0
11805,890,0,0
11806,891,0,0
11807,892,0,0
11808,893,0,0
11809,894,0,0
11810,895,0,0
11811,896,0,0
11812,897,0,0
11813,898,0,0
11814,899,0,0
11815,900,0,0
11816,901,0,0
11817,902,0,0
11818,903,0,0
11819,904,0,0
11820,905,0,0
11821,906,0,0
11822,907,0,0
11823,908,2,0
11824,909,0,0
11825,910,0,0
11826,911,75.39,0
11827,912,0,0
11828,913,0,0
11829,914,0,0
11830,915,0,0
11831,916,0,0
11832,917,0,0
11833,918,0,0
11834,919,0,0
11835,920,0,0
11836,921,0,0
11837,922,0,0
11838,923,0,0
11839,924,0,0
11840,925,22.47,0
11841,926,0,0
11842,927,0,0
11843,928,0,0
11844,929,0,0
11845,930,0,0
11846,931,0,0
11847,932,0,0
11848,933,0,0
11849,934,0,0
11850,935,0,0
11851,936,0,0
11852,937,0,0
11853,938,0,0
11854,939,0,0
11855,940,0,0
11856,941,0,0
11857,942,0,0
11858,943,0,0
11859,944,0,0
11860,945,0,0
11861,946,0,0
11862,947,0,0
11863,948,0,0
11864,949,0,0
11865,950,0,0
11866,951,0,0
11867,952,0,0
11868,953,0,0
11869,954,0,0
11870,955,0,0
11871,956,0,0
11872,957,0,0
11873,958,0,0
11874,959,0,0
11875,960,0,0
11876,961,0,0
11877,962,0,0
11878,963,0,0
11879,964,0,0
11880,965,0,0
11881,966,0,0
11882,967,0,0
11883,968,0,0
11884,969,0,0
11885,970,0,0
11886,971,0,0
11887,972,0,0
11888,973,0,0
11889,974,0,0
11890,975,0,0
11891,976,0,0
11892,977,0,0
11893,978,0,0
11894,979,0,0
11895,980,0,0
11896,981,0,0
11897,982,0,0
11898,983,0,0
11899,984,0,0
11900,985,0,0
11901,986,0,0
11902,987,0,0
11903,988,0,0
11904,989,0,0
11905,990,0,0
11906,991,0,0
11907,992,0,0
11908,993,0,0
11909,994,0,0
11910,995,0,0
11911,996,2.19,0
11912,997,0,0
11913,998,0,0
11914,999,8.8,0
11915,1000,0,0
11916,1001,0,0
11917,1002,0,0
11918,1003,0,0
11919,1004,0,0
11920,1005,0,0
11921,1006,0,0
11922,1007,0,0
11923,1008,0,0
11924,1009,0,0
11925,1010,0,0
11926,1011,0,0
11927,1012,0,0
11928,1013,0,0
11929,1014,0,0
11930,1015,0,0
11931,1016,0,0
11932,1017,0,0
11933,1018,0,0
11934,1019,0,0
11935,1020,0,0
11936,1021,0,0
11937,1022,0,0
11938,1023,0,0
11939,1024,0,0
11940,1025,0,0
11941,1026,0,0
11942,1027,0,0
11943,1028,0,0
11944,1029,0,0
11945,1030,0,0
11946,1031,0,0
11947,1032,0,0
11948,1033,0,0
11949,1034,0,0
11950,1035,0,0
11951,1036,0,0
11952,1037,0,0
11953,1038,0,0
11954,1039,0,0
11955,1040,0,0
11956,1041,0,0
11957,1042,0,0
11958,1043,0,0
11959,1044,0,0
11960,1045,0,0
11961,1046,0,0
11962,1047,0,0
11963,1048,0,0
11964,1049,0,0
11965,1050,0,0
11966,1051,0,0
11967,1052,0,0
11968,1053,0,0
11969,1054,0,0
11970,1055,0,0
11971,1056,0,0
11972,1057,0,0
11973,1058,0,0
11974,1059,0,0
11975,1060,0,0
11976,1061,0,0
11977,1062,0,0
11978,1063,0,0
11979,1064,0,0
11980,1065,0,0
11981,1066,0,0
11982,1067,0,0
11983,1068,0,0
11984,1069,0,0
11985,1070,0,0
11986,1071,0,0
11987,1072,0,0
11988,1073,0,0
11989,1074,0,0
11990,1075,0,0
11991,1076,0,0
11992,1077,0,0
11993,1078,0,0
11994,1079,0,0
11995,1080,0,0
11996,1081,0,0
11997,1082,0,0
11998,1083,0,0
11999,1084,0,0
12000,1085,0,0
12001,1086,0,0
12002,1087,0,0
12003,1088,0,0
12004,1089,0,0
12005,1090,0,0
12006,1091,0,0
12007,1092,0,0
12008,1093,0,0
12009,1094,0,0
12010,1095,0,0
12011,1096,0,0
12012,1097,0,0
12013,1098,0,0
12014,1099,0,0
12015,1100,0,0
12016,1101,0,0
12017,1102,0,0
12018,1103,0,0
12019,1104,0,0
12020,1105,0,0
12021,1106,0,0
12022,1107,0,0
12023,1108,0,0
12024,1109,0,0
12025,1110,0,0
12026,1111,0,0
12027,1112,7.5,0
12028,1113,0,0
12029,1114,0,0
12030,1115,0,0
12031,1116,0,0
12032,1117,0,0
12033,1118,0,0
12034,1119,0,0
12035,1120,0,0
12036,1121,0,0
12037,1122,0,0
12038,1123,0,0
12039,1124,0,0
12040,1125,0,0
12041,1126,0,0
12042,1127,0,0
12043,1128,0,0
12044,1129,0,0
12045,1130,0,0
12046,1131,0,0
12047,1132,0,0
12048,1133,0,0
12049,1134,0,0
12050,1135,0,0
12051,1136,0,0
12052,1137,0,0
12053,1138,0,0
12054,1139,0,0
12055,1140,0,0
12056,1141,0,0
12057,1142,0,0
12058,1143,0,0
12059,1144,0,0
12060,1145,0,0
12061,1146,0,0
12062,1147,0,0
12063,1148,0,0
12064,1149,0,0
12065,1150,0,0
12066,1151,0,0
12067,1152,0,0
12068,1153,0,0
12069,1154,0,0
12070,1155,0,0
12071,1156,0,0
12072,1157,0,0
12073,1158,0,0
12074,1159,0,0
12075,1160,0,0
12076,1161,0,0
12077,1162,0,0
12078,1163,0,0
12079,1164,0,0
12080,1165,0,0
12081,1166,0,0
12082,1167,0,0
12083,1168,0,0
12084,1169,0,0
12085,1170,0,0
12086,1171,0,0
12087,1172,0,0
12088,1173,0,0
12089,1174,0,0
12090,1175,0,0
12091,1176,0,0
12092,1177,0,0
12093,1178,0,0
12094,1179,0,0
12095,1180,0,0
12096,1181,0,0
12097,1182,0,0
12098,1183,0,0
12099,1184,0,0
12100,1185,0,0
12101,1186,0,0
12102,1187,0,0
12103,1188,0,0
12104,1189,0,0
12105,1190,0,0
12106,1191,0,0
12107,1192,0,0
12108,1193,0,0
12109,1194,0,0
12110,1195,0,0
12111,1196,0,0
12112,1197,0,0
12113,1198,0,0
12114,1199,0,0
12115,1200,0,0
12116,1201,0,0
12117,1202,0,0
12118,1203,0,0
12119,1204,0,0
12120,1205,0,0
12121,1206,0,0
12122,1207,0,0
12123,1208,0,0
12124,1209,0,0
12125,1210,0,0
12126,1211,0,0
12127,1212,0,0
12128,1213,0,0
12129,1214,0,0
12130,1215,0,0
12131,1216,20.19,0
12132,1217,0,0
12133,1218,0,0
12134,1219,0,0
12135,1220,0,0
12136,1221,0,0
12137,1222,0,0
12138,1223,0,0
12139,1224,0,0
12140,1225,0,0
12141,1226,0,0
12142,1227,0,0
12143,1228,0,0
12144,1229,0,0
12145,1230,0,0
12146,1231,0,0
12147,1232,0,0
12148,1233,0,0
12149,1234,0,0
12150,1235,0,0
12151,1236,0,0
12152,1237,0,0
12153,1238,0,0
12154,1239,0,0
12155,1240,0,0
12156,1241,0,0
12157,1242,0,0
12158,1243,0,0
12159,1244,0,0
12160,1245,0,0
12161,1246,0,0
12162,1247,0,0
12163,1248,0,0
12164,1249,0,0
12165,1250,0,0
12166,1251,0,0
12167,1252,0,0
12168,1253,0,0
12169,1254,0,0
12170,1255,0,0
12171,1256,0,0
12172,1257,0,0
12173,1258,0,0
12174,1259,0,0
12175,1260,0,0
12176,1261,0,0
12177,1262,35.18,0
12178,1263,0,0
12179,1264,9.14,0
12180,1265,0,0
12181,1266,0,0
12182,1267,0,0
12183,1268,0,0
12184,1269,0,0
12185,1270,0,0
12186,1271,0,0
12187,1272,0,0
12188,1273,0,0
12189,1274,0,0
12190,1275,0,0
12191,1276,0,0
12192,1277,0,0
12193,1278,0,0
12194,1279,0,0
12195,1280,0,0
12196,1281,0,0
12197,1282,0,0
12198,1283,0,0
12199,1284,0,0
12200,1285,0,0
12201,1286,0,0
12202,1287,0,0
12203,1288,0,0
12204,1289,0,0
12205,1290,0,0
12206,1291,0,0
12207,1292,0,0
12208,1293,0,0
12209,1294,0,0
12210,1295,0,0
12211,1296,0,0
12212,1297,0,0
12213,1298,0,0
12214,1299,0,0
12215,1300,0,0
12216,1301,0,0
12217,1302,0,0
12218,1303,0,0
12219,1304,0,0
12220,1305,0,0
12221,1306,0,0
12222,1307,0,0
12223,1308,0,0
12224,1309,0,0
12225,1310,0,0
12226,1311,0,0
12227,1312,0,0
12228,1313,0,0
12229,1314,0,0
12230,1315,0,0
12231,1316,0,0
12232,1317,0,0
12233,1318,0,0
12234,1319,0,0
12235,1320,0,0
12236,1321,0,0
12237,1322,0,0
12238,1323,0,0
12239,1324,0,0
12240,1325,0,0
12241,1326,0,0
12242,1327,0,0
12243,1328,0,0
12244,1329,0,0
12245,1330,0,0
12246,1331,0,0
12247,1332,0,0
12248,1333,0,0
12249,1334,0,0
12250,1335,0,0
12251,1336,0,0
12252,1337,0,0
12253,1338,0,0
12254,1339,0,0
12255,1340,0,0
12256,1341,0,0
12257,1342,0,0
12258,1343,0,0
12259,1344,0,0
12260,1345,0,0
12261,1346,0,0
12262,1347,0,0
12263,1348,0,0
12264,1349,0,0
12265,1350,0,0
12266,1351,0,0
12267,1352,0,0
12268,1353,0,0
12269,1354,0,0
12270,1355,0,0
12271,1356,0,0
12272,1357,0,0
12273,1358,0,0
12274,1359,0,0
12275,1360,0,0
12276,1361,0,0
12277,1362,0,0
12278,1363,0,0
12279,1364,0,0
12280,1365,0,0
12281,1366,0,0
12282,1367,0,0
12283,1368,0,0
12284,1369,0,0
12285,1370,0,0
12286,1371,0,0
12287,1372,0,0
12288,1373,0,0
12289,1374,0,0
12290,1375,0,0
12291,1376,0,0
12292,1377,405.43,0
12293,1378,0,0
12294,1379,0,0
12295,1380,0,0
12296,1381,0,0
12297,1382,0,0
12298,1383,0,0
12299,1384,0,0
12300,1385,0,0
12301,1386,0,0
12302,1387,0,0
12303,1388,0,0
12304,1389,0,0
12305,1390,0,0
12306,1391,0,0
12307,1392,0,0
12308,1393,0,0
12309,1394,0,0
12310,1395,0,0
12311,1396,0,0
12312,1397,0,0
12313,1398,0,0
12314,1399,0,0
12315,1400,0,0
12316,1401,0,0
12317,1402,0,0
12318,1403,0,0
12319,1404,0,0
12320,1405,0,0
12321,1406,0,0
12322,1407,0,0
12323,1408,0,0
12324,1409,0,0
12325,1410,0,0
12326,1411,0,0
12327,1412,0,0
12328,1413,0,0
12329,1414,0,0
12330,1415,0,0
12331,1416,0,0
12332,1417,0,0
12333,1418,0,0
12334,1419,10.75,0
12335,1420,0,0
12336,1421,0,0
12337,1422,0,0
12338,1423,0,0
12339,1424,0,0
12340,1425,0,0
12341,1426,0,0
12342,1427,0,0
12343,1428,0,0
12344,1429,0,0
12345,1430,0,0
12346,1431,0,0
12347,1432,0,0
12348,1433,0,0
12349,1434,0,0
12350,1435,0,0
12351,1436,0,0
12352,1437,0,0
12353,1438,0,0
12354,1439,0,0
12355,1440,0,0
12356,1441,0,0
12357,1442,0,0
12358,1443,0,0
12359,1444,0,0
12360,1445,0,0
12361,1446,0,0
12362,1447,0,0
12363,1448,0,0
12364,1449,0,0
12365,1450,0,0
12366,1451,0,0
12367,1452,0,0
12368,1453,0,0
12369,1454,0,0
12370,1455,0,0
12371,1456,0,0
12372,1457,0,0
12373,1458,0,0
12374,1459,17.66,0
12375,1460,0,0
12376,1461,0,0
12377,1462,0,0
12378,1463,0,0
12379,1464,0,0
12380,1465,0,0
12381,1466,0,0
12382,1467,0,0
12383,1468,0,0
12384,1469,0,0
12385,1470,0,0
12386,1471,0,0
12387,1472,0,0
12388,1473,0,0
12389,1474,0,0
12390,1475,0,0
12391,1476,0,0
12392,1477,0,0
12393,1478,0,0
12394,1479,0,0
12395,1480,0,0
12396,1481,0,0
12397,1482,0,0
12398,1483,0,0
12399,1484,0,0
12400,1485,0,0
12401,1486,0,0
12402,1487,0,0
12403,1488,0,0
12404,1489,0,0
12405,1490,0,0
12406,1491,0,0
12407,1492,0,0
12408,1493,0,0
12409,1494,0,0
12410,1495,0,0
12411,501,0,0
12412,503,0,0
12413,507,0,0
12414,514,0,0
12415,515,0,0
12416,516,0,0
12417,517,0,0
12418,520,0,0
12419,523,0,0
12420,524,0,0
12421,526,0,0
12422,528,0,0
12423,530,0,0
12424,534,0,0
12425,535,0,0
12426,537,0,0
12427,538,0,0
12428,539,0,0
12429,540,0,0
12430,4001,0,0
12431,4002,0,0
12432,542,0,0
12433,543,0,0
12434,544,0,0
12435,545,0,0
12436,548,0,0
12437,550,0,0
12438,552,0,0
12439,555,0,0
12440,556,0,0
12441,557,0,0
12442,563,0,0
12443,564,0,0
12444,565,0,0
12445,567,0,0
12446,568,0,0
12447,569,0,0
12448,571,0,0
12449,572,0,0
12450,573,0,0
12451,574,0,0
12452,575,0,0
12453,578,0,0
12454,581,0,0
12455,582,0,0
12456,4008,0,0
12457,583,0,0
12458,584,0,0
12459,585,0,0
12460,586,0,0
12461,588,0,0
12462,589,0,0
12463,591,2.48,0
12464,595,0,0
12465,1496,0,0
12466,1497,0,0
12467,1498,0,0
12468,1499,0,0
12469,1500,0,0
12470,1501,0,0
12471,1502,0,0
12472,1503,0,0
12473,1504,0,0
12474,1505,0,0
12475,1506,0,0
12476,1507,0,0
12477,1508,0,0
12478,1509,0,0
12479,1510,0,0
12480,1511,0,0
12481,1512,0,0
12482,1513,0,0
12483,1514,0,0
12484,579,0,0
12485,601,5.59,0
12486,1516,0,0
12487,1517,0,0
12488,1515,50,0
12489,1518,0,0
12490,1519,0,0
12491,1520,0,0
12492,1521,0,0
12493,1522,0,0
12494,1523,0,0
12495,1524,0,0
12496,1525,0,0
12497,1526,0,0
12498,508,0,0
12499,522,0,0
