"INDEX","CUSTOMER NO","Account Balance","ACCBALRUNINGTOTAL11"
11177,"164",0.0000,0.0000
11178,"165",0.0000,0.0000
11179,"166",0.0000,0.0000
11180,"167",0.0000,0.0000
11181,"168",0.0000,0.0000
11182,"169",0.0000,0.0000
11183,"170",0.0000,0.0000
11184,"171",0.0000,0.0000
11185,"172",0.0000,0.0000
11186,"173",0.0000,0.0000
11187,"174",0.0000,0.0000
11188,"175",0.0000,0.0000
11189,"176",0.0000,0.0000
11190,"177",0.0000,0.0000
11191,"178",0.0000,0.0000
11192,"179",0.0000,0.0000
11193,"180",0.0000,0.0000
11194,"181",0.0000,0.0000
11195,"182",0.0000,0.0000
11196,"183",0.0000,0.0000
11197,"184",0.0000,0.0000
11198,"185",0.0000,0.0000
11199,"186",0.0000,0.0000
11200,"187",0.0000,0.0000
11201,"188",0.0000,0.0000
11202,"189",0.0000,0.0000
11203,"190",0.0000,0.0000
11204,"191",2.4950,0.0000
11205,"192",0.0000,0.0000
11206,"193",0.0000,0.0000
11207,"194",0.0000,0.0000
11208,"195",0.0000,0.0000
11209,"196",0.0000,0.0000
11210,"197",0.0000,0.0000
11211,"198",0.0000,0.0000
11212,"199",0.0000,0.0000
11213,"200",0.0000,0.0000
11214,"201",0.0000,0.0000
11215,"202",0.0000,0.0000
11216,"203",0.0000,0.0000
11217,"204",0.0000,0.0000
11218,"205",0.0000,0.0000
11219,"206",0.0000,0.0000
11220,"207",0.0000,0.0000
11221,"208",0.0000,0.0000
11222,"209",0.0000,0.0000
11223,"210",0.0000,0.0000
11224,"211",0.0000,0.0000
11225,"212",0.0000,0.0000
11226,"213",0.0000,0.0000
11227,"214",0.0000,0.0000
11228,"215",0.0000,0.0000
11229,"216",0.0000,0.0000
11230,"217",0.0000,0.0000
11231,"218",0.0000,0.0000
11232,"219",0.0000,0.0000
11233,"220",0.0000,0.0000
11234,"221",0.0000,0.0000
11235,"222",0.0000,0.0000
11236,"223",0.0000,0.0000
11237,"224",0.0000,0.0000
11238,"4004",0.0000,0.0000
11239,"4005",0.0000,0.0000
11240,"4006",0.0000,0.0000
11241,"4020",0.0000,0.0000
11242,"4007",0.0000,0.0000
11243,"225",0.0000,0.0000
11244,"226",0.0000,0.0000
11245,"227",0.0000,0.0000
11246,"228",0.0000,0.0000
11247,"229",0.0000,0.0000
11248,"230",0.0000,0.0000
11249,"231",0.0000,0.0000
11250,"232",0.0000,0.0000
11251,"233",0.0000,0.0000
11252,"234",0.0000,0.0000
11253,"235",0.0000,0.0000
11254,"236",0.0000,0.0000
11255,"237",0.0000,0.0000
11256,"238",0.0000,0.0000
11257,"239",0.0000,0.0000
11258,"240",0.0000,0.0000
11259,"241",0.0000,0.0000
11260,"242",0.0000,0.0000
11261,"243",0.0000,0.0000
11262,"244",0.0000,0.0000
11263,"245",0.0000,0.0000
11264,"246",0.0000,0.0000
11265,"247",0.0000,0.0000
11266,"248",0.0000,0.0000
11267,"249",0.0000,0.0000
11268,"250",0.0000,0.0000
11269,"251",0.0000,0.0000
11270,"252",0.0000,0.0000
11271,"253",0.0000,0.0000
11272,"254",0.0000,0.0000
11273,"255",0.0000,0.0000
11274,"256",0.0000,0.0000
11275,"257",0.0000,0.0000
11276,"258",0.0000,0.0000
11277,"259",0.0000,0.0000
11278,"260",0.0000,0.0000
11279,"261",0.0000,0.0000
11280,"262",0.0000,0.0000
11281,"263",0.0000,0.0000
11282,"264",0.0000,0.0000
11283,"265",0.0000,0.0000
11284,"266",0.0000,0.0000
11285,"267",0.0000,0.0000
11286,"268",0.0000,0.0000
11287,"269",0.0000,0.0000
11288,"270",0.0000,0.0000
11289,"271",0.0000,0.0000
11290,"272",0.0000,0.0000
11291,"273",0.0000,0.0000
11292,"274",0.0000,0.0000
11293,"275",0.0000,0.0000
11294,"276",0.0000,0.0000
11295,"277",0.0000,0.0000
11296,"278",0.0000,0.0000
11297,"279",0.0000,0.0000
11298,"280",0.0000,0.0000
11299,"281",0.0000,0.0000
11300,"282",0.0000,0.0000
11301,"283",0.0000,0.0000
11302,"284",0.0000,0.0000
11303,"285",0.0000,0.0000
11304,"286",0.0000,0.0000
11305,"287",0.0000,0.0000
11306,"288",0.0000,0.0000
11307,"289",0.0000,0.0000
11308,"290",0.0000,0.0000
11309,"291",0.0000,0.0000
11310,"292",0.0000,0.0000
11311,"293",0.0000,0.0000
11312,"294",0.0000,0.0000
11313,"295",0.0000,0.0000
11314,"296",0.0000,0.0000
11315,"297",0.0000,0.0000
11316,"298",0.0000,0.0000
11317,"299",0.0000,0.0000
11318,"300",0.0000,0.0000
11319,"301",0.0000,0.0000
11320,"302",0.0000,0.0000
11321,"303",0.0000,0.0000
11322,"304",0.0000,0.0000
11323,"305",0.0000,0.0000
11324,"306",0.0000,0.0000
11325,"307",0.0000,0.0000
11326,"308",0.0000,0.0000
11327,"309",0.0000,0.0000
11328,"310",0.0000,0.0000
11329,"311",0.0000,0.0000
11330,"312",0.0000,0.0000
11331,"313",0.0000,0.0000
11332,"314",0.0000,0.0000
11333,"315",0.0000,0.0000
11334,"316",0.0000,0.0000
11335,"317",0.0000,0.0000
11336,"318",0.0000,0.0000
11337,"319",0.0000,0.0000
11338,"320",0.0000,0.0000
11339,"321",0.0000,0.0000
11340,"322",0.0000,0.0000
11341,"323",0.0000,0.0000
11342,"324",0.0000,0.0000
11343,"325",0.0000,0.0000
11344,"326",0.0000,0.0000
11345,"327",0.0000,0.0000
11346,"328",0.0000,0.0000
11347,"329",0.0000,0.0000
11348,"330",0.0000,0.0000
11349,"331",0.0000,0.0000
11350,"332",0.0000,0.0000
11351,"333",0.0000,0.0000
11352,"334",0.0000,0.0000
11353,"335",0.0000,0.0000
11354,"336",0.0000,0.0000
11355,"337",0.0000,0.0000
11356,"338",0.0000,0.0000
11357,"339",0.0000,0.0000
11358,"340",0.0000,0.0000
11359,"341",0.0000,0.0000
11360,"342",0.0000,0.0000
11361,"343",0.0000,0.0000
11362,"344",11.2153,0.0000
11363,"345",0.0000,0.0000
11364,"346",0.0000,0.0000
11365,"347",0.0000,0.0000
11366,"348",0.0000,0.0000
11367,"349",0.0000,0.0000
11368,"350",0.0000,0.0000
11369,"351",0.0000,0.0000
11370,"352",0.0000,0.0000
11371,"353",0.0000,0.0000
11372,"354",0.0000,0.0000
11373,"355",0.0000,0.0000
11374,"356",0.0000,0.0000
11375,"357",0.0000,0.0000
11376,"358",0.0000,0.0000
11377,"359",0.0000,0.0000
11378,"360",0.0000,0.0000
11379,"361",0.0000,0.0000
11380,"362",0.0000,0.0000
11381,"363",0.0000,0.0000
11382,"364",0.0000,0.0000
11383,"365",0.0000,0.0000
11384,"366",0.0000,0.0000
11385,"367",0.0000,0.0000
11386,"368",0.0000,0.0000
11387,"369",0.0000,0.0000
11388,"370",0.0000,0.0000
11389,"371",0.0000,0.0000
11390,"372",0.0000,0.0000
11391,"373",0.0000,0.0000
11392,"374",0.0000,0.0000
11393,"375",0.0000,0.0000
11394,"376",0.0000,0.0000
11395,"377",0.0000,0.0000
11396,"378",0.0000,0.0000
11397,"379",0.0000,0.0000
11398,"380",0.0000,0.0000
11399,"381",0.0000,0.0000
11400,"382",0.0000,0.0000
11401,"383",0.0000,0.0000
11402,"384",0.0000,0.0000
11403,"385",0.0000,0.0000
11404,"386",0.0000,0.0000
11405,"387",0.0000,0.0000
11406,"388",0.0000,0.0000
11407,"389",0.0000,0.0000
11408,"390",0.0000,0.0000
11409,"391",0.0000,0.0000
11410,"392",0.0000,0.0000
11411,"393",0.0000,0.0000
11412,"394",0.0000,0.0000
11413,"395",0.0000,0.0000
11414,"396",0.0000,0.0000
11415,"397",0.0000,0.0000
11416,"398",0.0000,0.0000
11417,"399",0.0000,0.0000
11418,"400",0.0000,0.0000
11419,"401",0.0000,0.0000
11420,"402",0.0000,0.0000
11421,"403",0.0000,0.0000
11422,"404",0.0000,0.0000
11423,"405",0.0000,0.0000
11424,"406",0.0000,0.0000
11425,"407",0.0000,0.0000
11426,"408",0.0000,0.0000
11427,"409",0.0000,0.0000
11428,"410",0.0000,0.0000
11429,"411",0.0000,0.0000
11430,"412",0.0000,0.0000
11431,"413",0.0000,0.0000
11432,"414",0.0000,0.0000
11433,"415",0.0000,0.0000
11434,"416",0.0000,0.0000
11435,"417",0.0000,0.0000
11436,"418",0.0000,0.0000
11437,"419",0.0000,0.0000
11438,"420",0.0000,0.0000
11439,"421",0.0000,0.0000
11440,"422",0.0000,0.0000
11441,"423",0.0000,0.0000
11442,"424",0.0000,0.0000
11443,"425",0.0000,0.0000
11444,"426",0.0000,0.0000
11445,"427",0.0000,0.0000
11446,"428",0.0000,0.0000
11447,"429",0.0000,0.0000
11448,"430",0.0000,0.0000
11449,"431",0.0000,0.0000
11450,"432",0.0000,0.0000
11451,"433",0.0000,0.0000
11452,"434",0.0000,0.0000
11453,"435",0.0000,0.0000
11454,"436",0.0000,0.0000
11455,"437",0.0000,0.0000
11456,"438",0.0000,0.0000
11457,"439",0.0000,0.0000
11458,"440",0.0000,0.0000
11459,"441",0.0000,0.0000
11460,"442",0.0000,0.0000
11461,"443",0.0000,0.0000
11462,"444",0.0000,0.0000
11463,"445",0.0000,0.0000
11464,"446",0.0000,0.0000
11465,"447",0.0000,0.0000
11466,"448",0.0000,0.0000
11467,"449",0.0000,0.0000
11468,"450",0.0000,0.0000
11469,"451",0.0000,0.0000
11470,"452",0.0000,0.0000
11471,"453",0.0000,0.0000
11472,"454",0.0000,0.0000
11473,"455",0.0000,0.0000
11474,"456",0.0000,0.0000
11475,"457",0.0000,0.0000
11476,"458",0.0000,0.0000
11477,"459",0.0000,0.0000
11478,"460",0.0000,0.0000
11479,"461",0.0000,0.0000
11480,"462",0.0000,0.0000
11481,"463",0.0000,0.0000
11482,"464",0.0000,0.0000
11483,"465",0.0000,0.0000
11484,"466",0.0000,0.0000
11485,"467",0.0000,0.0000
11486,"468",0.0000,0.0000
11487,"469",0.0000,0.0000
11488,"470",0.0000,0.0000
11489,"471",0.0000,0.0000
11490,"472",0.0000,0.0000
11491,"473",0.0000,0.0000
11492,"474",0.0000,0.0000
11493,"475",0.0000,0.0000
11494,"476",0.0000,0.0000
11495,"477",0.0000,0.0000
11496,"478",0.0000,0.0000
11497,"479",0.0000,0.0000
11498,"480",0.0000,0.0000
11499,"481",0.0000,0.0000
11500,"482",0.0000,0.0000
11501,"483",0.0000,0.0000
11502,"484",0.0000,0.0000
11503,"485",0.0000,0.0000
11504,"486",0.0000,0.0000
11505,"487",0.0000,0.0000
11506,"488",0.0000,0.0000
11507,"489",0.0000,0.0000
11508,"490",0.0000,0.0000
11509,"491",0.0000,0.0000
11510,"492",0.0000,0.0000
11511,"493",0.0000,0.0000
11512,"494",0.0000,0.0000
11513,"495",0.0000,0.0000
11514,"496",0.0000,0.0000
11515,"497",0.0000,0.0000
11516,"498",0.0000,0.0000
11517,"499",0.0000,0.0000
11518,"603",0.0000,0.0000
11519,"604",0.0000,0.0000
11520,"605",0.0000,0.0000
11521,"606",0.0000,0.0000
11522,"607",0.0000,0.0000
11523,"608",0.0000,0.0000
11524,"609",0.0000,0.0000
11525,"610",0.0000,0.0000
11526,"611",0.0000,0.0000
11527,"612",0.0000,0.0000
11528,"613",0.0000,0.0000
11529,"614",0.0000,0.0000
11530,"615",0.0000,0.0000
11531,"616",0.0000,0.0000
11532,"617",0.0000,0.0000
11533,"618",0.0000,0.0000
11534,"619",0.0000,0.0000
11535,"620",0.0000,0.0000
11536,"621",0.0000,0.0000
11537,"622",0.0000,0.0000
11538,"623",0.0000,0.0000
11539,"624",0.0000,0.0000
11540,"625",0.0000,0.0000
11541,"626",0.0000,0.0000
11542,"627",0.0000,0.0000
11543,"628",0.0000,0.0000
11544,"629",0.0000,0.0000
11545,"630",0.0000,0.0000
11546,"631",0.0000,0.0000
11547,"632",0.0000,0.0000
11548,"633",0.0000,0.0000
11549,"634",0.0000,0.0000
11550,"635",0.0000,0.0000
11551,"636",0.0000,0.0000
11552,"637",0.0000,0.0000
11553,"638",0.0000,0.0000
11554,"639",0.0000,0.0000
11555,"640",0.0000,0.0000
11556,"641",0.0000,0.0000
11557,"642",0.0000,0.0000
11558,"643",158.4700,0.0000
11559,"644",0.0000,0.0000
11560,"645",0.0000,0.0000
11561,"646",0.0000,0.0000
11562,"647",0.0000,0.0000
11563,"648",0.0000,0.0000
11564,"649",0.0000,0.0000
11565,"650",0.0000,0.0000
11566,"651",0.0000,0.0000
11567,"652",0.0000,0.0000
11568,"653",0.0000,0.0000
11569,"654",0.0000,0.0000
11570,"655",0.0000,0.0000
11571,"656",0.0000,0.0000
11572,"657",0.0000,0.0000
11573,"658",0.0000,0.0000
11574,"659",0.0000,0.0000
11575,"660",0.0000,0.0000
11576,"661",0.0000,0.0000
11577,"662",0.0000,0.0000
11578,"663",0.0000,0.0000
11579,"664",0.0000,0.0000
11580,"665",0.0000,0.0000
11581,"666",0.0000,0.0000
11582,"667",0.0000,0.0000
11583,"668",0.0000,0.0000
11584,"669",0.0000,0.0000
11585,"670",0.0000,0.0000
11586,"671",0.0000,0.0000
11587,"672",0.0000,0.0000
11588,"673",0.0000,0.0000
11589,"674",0.0000,0.0000
11590,"675",0.0000,0.0000
11591,"676",0.0000,0.0000
11592,"677",0.0000,0.0000
11593,"678",0.0000,0.0000
11594,"679",0.0000,0.0000
11595,"680",0.0000,0.0000
11596,"681",0.0000,0.0000
11597,"682",0.0000,0.0000
11598,"683",0.0000,0.0000
11599,"684",0.0000,0.0000
11600,"685",0.0000,0.0000
11601,"686",0.0000,0.0000
11602,"687",0.0000,0.0000
11603,"688",0.0000,0.0000
11604,"689",0.0000,0.0000
11605,"690",0.0000,0.0000
11606,"691",0.0000,0.0000
11607,"692",0.0000,0.0000
11608,"693",0.0000,0.0000
11609,"694",0.0000,0.0000
11610,"695",0.0000,0.0000
11611,"696",0.0000,0.0000
11612,"697",0.0000,0.0000
11613,"698",0.0000,0.0000
11614,"699",0.0000,0.0000
11615,"700",0.0000,0.0000
11616,"701",0.0000,0.0000
11617,"702",0.0000,0.0000
11618,"703",0.0000,0.0000
11619,"704",0.0000,0.0000
11620,"705",0.0000,0.0000
11621,"706",0.0000,0.0000
11622,"707",0.0000,0.0000
11623,"708",0.0000,0.0000
11624,"709",0.0000,0.0000
11625,"710",0.0000,0.0000
11626,"711",0.0000,0.0000
11627,"712",0.0000,0.0000
11628,"713",0.0000,0.0000
11629,"714",0.0000,0.0000
11630,"715",0.0000,0.0000
11631,"716",1.9960,0.0000
11632,"717",0.0000,0.0000
11633,"718",0.0000,0.0000
11634,"719",0.0000,0.0000
11635,"720",0.0000,0.0000
11636,"721",0.0000,0.0000
11637,"722",0.0000,0.0000
11638,"723",0.0000,0.0000
11639,"724",0.0000,0.0000
11640,"725",0.0000,0.0000
11641,"726",0.0000,0.0000
11642,"727",0.5000,0.0000
11643,"728",0.0000,0.0000
11644,"729",0.0000,0.0000
11645,"730",0.0000,0.0000
11646,"731",0.0000,0.0000
11647,"732",0.0000,0.0000
11648,"733",0.0000,0.0000
11649,"734",0.0000,0.0000
11650,"735",0.0000,0.0000
11651,"736",0.0000,0.0000
11652,"737",0.0000,0.0000
11653,"738",0.0000,0.0000
11654,"739",0.0000,0.0000
11655,"740",0.0000,0.0000
11656,"741",0.0000,0.0000
11657,"742",0.0000,0.0000
11658,"743",0.0000,0.0000
11659,"744",0.0000,0.0000
11660,"745",0.0000,0.0000
11661,"746",68.2938,0.0000
11662,"747",0.0000,0.0000
11663,"748",0.0000,0.0000
11664,"749",0.0000,0.0000
11665,"750",0.0000,0.0000
11666,"751",0.0000,0.0000
11667,"752",0.0000,0.0000
11668,"753",0.0000,0.0000
11669,"754",0.0000,0.0000
11670,"755",0.0000,0.0000
11671,"756",0.0000,0.0000
11672,"757",0.0000,0.0000
11673,"758",0.0000,0.0000
11674,"759",0.0000,0.0000
11675,"760",0.0000,0.0000
11676,"761",0.0000,0.0000
11677,"762",0.0000,0.0000
11678,"763",0.0000,0.0000
11679,"764",0.0000,0.0000
11680,"765",0.0000,0.0000
11681,"766",0.0000,0.0000
11682,"767",0.0000,0.0000
11683,"768",0.0000,0.0000
11684,"769",0.0000,0.0000
11685,"770",0.0000,0.0000
11686,"771",0.0000,0.0000
11687,"772",0.0000,0.0000
11688,"773",0.0000,0.0000
11689,"774",0.0000,0.0000
11690,"775",0.0000,0.0000
11691,"776",0.0000,0.0000
11692,"777",0.0000,0.0000
11693,"778",0.0000,0.0000
11694,"779",0.0000,0.0000
11695,"780",0.0000,0.0000
11696,"781",0.0000,0.0000
11697,"782",0.0000,0.0000
11698,"783",0.0000,0.0000
11699,"784",0.0000,0.0000
11700,"785",0.0000,0.0000
11701,"786",0.0000,0.0000
11702,"787",0.0000,0.0000
11703,"788",0.0000,0.0000
11704,"789",0.0000,0.0000
11705,"790",0.0000,0.0000
11706,"791",0.0000,0.0000
11707,"792",0.0000,0.0000
11708,"793",0.0000,0.0000
11709,"794",0.0000,0.0000
11710,"795",0.0000,0.0000
11711,"796",0.0000,0.0000
11712,"797",0.0000,0.0000
11713,"798",0.0000,0.0000
11714,"799",0.0000,0.0000
11715,"800",0.0000,0.0000
11716,"801",0.0000,0.0000
11717,"802",0.0000,0.0000
11718,"803",0.0000,0.0000
11719,"804",0.0000,0.0000
11720,"805",0.0000,0.0000
11721,"806",0.0000,0.0000
11722,"807",0.0000,0.0000
11723,"808",0.0000,0.0000
11724,"809",0.0000,0.0000
11725,"810",0.0000,0.0000
11726,"811",0.0000,0.0000
11727,"812",0.0000,0.0000
11728,"813",0.0000,0.0000
11729,"814",0.0000,0.0000
11730,"815",0.0000,0.0000
11731,"816",0.0000,0.0000
11732,"817",0.0000,0.0000
11733,"818",0.0000,0.0000
11734,"819",0.0000,0.0000
11735,"820",0.0000,0.0000
11736,"821",0.0000,0.0000
11737,"822",0.0000,0.0000
11738,"823",0.0000,0.0000
11739,"824",0.0000,0.0000
11740,"825",0.0000,0.0000
11741,"826",0.0000,0.0000
11742,"827",0.0000,0.0000
11743,"828",0.0000,0.0000
11744,"829",0.0000,0.0000
11745,"830",0.0000,0.0000
11746,"831",0.0000,0.0000
11747,"832",0.0000,0.0000
11748,"833",0.0000,0.0000
11749,"834",0.0000,0.0000
11750,"835",0.0000,0.0000
11751,"836",0.0000,0.0000
11752,"837",0.0000,0.0000
11753,"838",0.0000,0.0000
11754,"839",0.0000,0.0000
11755,"840",0.0000,0.0000
11756,"841",0.0000,0.0000
11757,"842",0.0000,0.0000
11758,"843",0.0000,0.0000
11759,"844",0.0000,0.0000
11760,"845",0.0000,0.0000
11761,"846",0.0000,0.0000
11762,"847",0.0000,0.0000
11763,"848",0.0000,0.0000
11764,"849",0.0000,0.0000
11765,"850",0.0000,0.0000
11766,"851",0.0000,0.0000
11767,"852",0.0000,0.0000
11768,"853",0.0000,0.0000
11769,"854",0.0000,0.0000
11770,"855",0.0000,0.0000
11771,"856",0.0000,0.0000
11772,"857",0.0000,0.0000
11773,"858",0.0000,0.0000
11774,"859",0.0000,0.0000
11775,"860",0.0000,0.0000
11776,"861",0.0000,0.0000
11777,"862",0.0000,0.0000
11778,"863",0.0000,0.0000
11779,"864",0.5000,0.0000
11780,"865",0.0000,0.0000
11781,"866",0.0000,0.0000
11782,"867",0.0000,0.0000
11783,"868",0.0000,0.0000
11784,"869",0.0000,0.0000
11785,"870",0.0000,0.0000
11786,"871",0.0000,0.0000
11787,"872",0.0000,0.0000
11788,"873",0.0000,0.0000
11789,"874",0.0000,0.0000
11790,"875",0.0000,0.0000
11791,"876",0.0000,0.0000
11792,"877",0.0000,0.0000
11793,"878",0.0000,0.0000
11794,"879",0.0000,0.0000
11795,"880",0.0000,0.0000
11796,"881",0.0000,0.0000
11797,"882",0.0000,0.0000
11798,"883",0.0000,0.0000
11799,"884",0.0000,0.0000
11800,"885",1.0000,0.0000
11801,"886",0.0000,0.0000
11802,"887",0.0000,0.0000
11803,"888",0.0000,0.0000
11804,"889",0.0000,0.0000
11805,"890",0.0000,0.0000
11806,"891",0.0000,0.0000
11807,"892",0.0000,0.0000
11808,"893",0.0000,0.0000
11809,"894",0.0000,0.0000
11810,"895",0.0000,0.0000
11811,"896",0.0000,0.0000
11812,"897",0.0000,0.0000
11813,"898",0.0000,0.0000
11814,"899",0.0000,0.0000
11815,"900",0.0000,0.0000
11816,"901",0.0000,0.0000
11817,"902",0.0000,0.0000
11818,"903",0.0000,0.0000
11819,"904",0.0000,0.0000
11820,"905",0.0000,0.0000
11821,"906",0.0000,0.0000
11822,"907",0.0000,0.0000
11823,"908",1.9950,0.0000
11824,"909",0.0000,0.0000
11825,"910",0.0000,0.0000
11826,"911",75.3864,0.0000
11827,"912",0.0000,0.0000
11828,"913",0.0000,0.0000
11829,"914",0.0000,0.0000
11830,"915",0.0000,0.0000
11831,"916",0.0000,0.0000
11832,"917",0.0000,0.0000
11833,"918",0.0000,0.0000
11834,"919",0.0000,0.0000
11835,"920",0.0000,0.0000
11836,"921",0.0000,0.0000
11837,"922",0.0000,0.0000
11838,"923",0.0000,0.0000
11839,"924",0.0000,0.0000
11840,"925",22.4700,0.0000
11841,"926",0.0000,0.0000
11842,"927",0.0000,0.0000
11843,"928",0.0000,0.0000
11844,"929",0.0000,0.0000
11845,"930",0.0000,0.0000
11846,"931",0.0000,0.0000
11847,"932",0.0000,0.0000
11848,"933",0.0000,0.0000
11849,"934",0.0000,0.0000
11850,"935",0.0000,0.0000
11851,"936",0.0000,0.0000
11852,"937",0.0000,0.0000
11853,"938",0.0000,0.0000
11854,"939",0.0000,0.0000
11855,"940",0.0000,0.0000
11856,"941",0.0000,0.0000
11857,"942",0.0000,0.0000
11858,"943",0.0000,0.0000
11859,"944",0.0000,0.0000
11860,"945",0.0000,0.0000
11861,"946",0.0000,0.0000
11862,"947",0.0000,0.0000
11863,"948",0.0000,0.0000
11864,"949",0.0000,0.0000
11865,"950",0.0000,0.0000
11866,"951",0.0000,0.0000
11867,"952",0.0000,0.0000
11868,"953",0.0000,0.0000
11869,"954",0.0000,0.0000
11870,"955",0.0000,0.0000
11871,"956",0.0000,0.0000
11872,"957",0.0000,0.0000
11873,"958",0.0000,0.0000
11874,"959",0.0000,0.0000
11875,"960",0.0000,0.0000
11876,"961",0.0000,0.0000
11877,"962",0.0000,0.0000
11878,"963",0.0000,0.0000
11879,"964",0.0000,0.0000
11880,"965",0.0000,0.0000
11881,"966",0.0000,0.0000
11882,"967",0.0000,0.0000
11883,"968",0.0000,0.0000
